area	lon_wmc	lat_wmc	area_ext_coord	indx	indy
A087	3.138963	41.488032	[(2.8000000000000007, 41.24310484), (3.491666666666667, 41.24310484), (3.491666666666667, 41.76706221333333), (2.8000000000000007, 41.76706221333333), (2.8000000000000007, 41.24310484)]	12	21
A088	3.326786	42.019643	[(2.8000000000000007, 41.76706221333333), (3.491666666666667, 41.76706221333333), (3.491666666666667, 42.291019586666664), (2.8000000000000007, 42.291019586666664), (2.8000000000000007, 41.76706221333333)]	12	22
A089	3.274764	42.595519	[(2.8000000000000007, 42.291019586666664), (3.491666666666667, 42.291019586666664), (3.491666666666667, 42.814976959999996), (2.8000000000000007, 42.814976959999996), (2.8000000000000007, 42.291019586666664)]	12	23
A090	3.287829	43.031250	[(2.8000000000000007, 42.814976959999996), (3.491666666666667, 42.814976959999996), (3.491666666666667, 43.338934333333334), (2.8000000000000007, 43.338934333333334), (2.8000000000000007, 42.814976959999996)]	12	24
A091	3.771635	36.951923	[(3.491666666666667, 36.52748848), (4.183333333333334, 36.52748848), (4.183333333333334, 37.051445853333334), (3.491666666666667, 37.051445853333334), (3.491666666666667, 36.52748848)]	13	12
A092	3.812500	37.312500	[(3.491666666666667, 37.051445853333334), (4.183333333333334, 37.051445853333334), (4.183333333333334, 37.575403226666666), (3.491666666666667, 37.575403226666666), (3.491666666666667, 37.051445853333334)]	13	13
A093	3.812500	37.843750	[(3.491666666666667, 37.575403226666666), (4.183333333333334, 37.575403226666666), (4.183333333333334, 38.0993606), (3.491666666666667, 38.0993606), (3.491666666666667, 37.575403226666666)]	13	14
A094	3.812500	38.343750	[(3.491666666666667, 38.0993606), (4.183333333333334, 38.0993606), (4.183333333333334, 38.62331797333333), (3.491666666666667, 38.62331797333333), (3.491666666666667, 38.0993606)]	13	15
A095	3.812500	38.875000	[(3.491666666666667, 38.62331797333333), (4.183333333333334, 38.62331797333333), (4.183333333333334, 39.14727534666667), (3.491666666666667, 39.14727534666667), (3.491666666666667, 38.62331797333333)]	13	16
A096	3.812500	39.406250	[(3.491666666666667, 39.14727534666667), (4.183333333333334, 39.14727534666667), (4.183333333333334, 39.67123272), (3.491666666666667, 39.67123272), (3.491666666666667, 39.14727534666667)]	13	17
A097	3.785156	39.932812	[(3.491666666666667, 39.67123272), (4.183333333333334, 39.67123272), (4.183333333333334, 40.19519009333333), (3.491666666666667, 40.19519009333333), (3.491666666666667, 39.67123272)]	13	18
A098	3.812500	40.468750	[(3.491666666666667, 40.19519009333333), (4.183333333333334, 40.19519009333333), (4.183333333333334, 40.71914746666667), (3.491666666666667, 40.71914746666667), (3.491666666666667, 40.19519009333333)]	13	19
A099	3.812500	40.968750	[(3.491666666666667, 40.71914746666667), (4.183333333333334, 40.71914746666667), (4.183333333333334, 41.24310484), (3.491666666666667, 41.24310484), (3.491666666666667, 40.71914746666667)]	13	20
